2021-11-02 18:17:41 upgrade base-files:amd64 10.3+deb10u11 10.3+deb10u11
2021-11-02 18:17:41 status half-configured base-files:amd64 10.3+deb10u11
2021-11-02 18:17:41 status unpacked base-files:amd64 10.3+deb10u11
2021-11-02 18:17:41 status half-installed base-files:amd64 10.3+deb10u11
2021-11-02 18:17:41 status unpacked base-files:amd64 10.3+deb10u11
2021-11-02 18:17:41 install libdebconfclient0:amd64 <none> 0.249
2021-11-02 18:17:41 status half-installed libdebconfclient0:amd64 0.249
2021-11-02 18:17:41 status unpacked libdebconfclient0:amd64 0.249
2021-11-02 18:17:41 upgrade base-passwd:amd64 3.5.46 3.5.46
2021-11-02 18:17:41 status half-configured base-passwd:amd64 3.5.46
2021-11-02 18:17:41 status unpacked base-passwd:amd64 3.5.46
2021-11-02 18:17:41 status half-installed base-passwd:amd64 3.5.46
2021-11-02 18:17:41 status unpacked base-passwd:amd64 3.5.46
2021-11-02 18:17:41 install debianutils:amd64 <none> 4.8.6.1
2021-11-02 18:17:41 status half-installed debianutils:amd64 4.8.6.1
2021-11-02 18:17:42 status unpacked debianutils:amd64 4.8.6.1
2021-11-02 18:17:42 install bash:amd64 <none> 5.0-4
2021-11-02 18:17:42 status half-installed bash:amd64 5.0-4
2021-11-02 18:17:42 status unpacked bash:amd64 5.0-4
2021-11-02 18:17:42 install bsdutils:amd64 <none> 1:2.33.1-0.1
2021-11-02 18:17:42 status half-installed bsdutils:amd64 1:2.33.1-0.1
2021-11-02 18:17:42 status unpacked bsdutils:amd64 1:2.33.1-0.1
2021-11-02 18:17:42 install coreutils:amd64 <none> 8.30-3
2021-11-02 18:17:42 status half-installed coreutils:amd64 8.30-3
2021-11-02 18:17:43 status unpacked coreutils:amd64 8.30-3
2021-11-02 18:17:43 install dash:amd64 <none> 0.5.10.2-5
2021-11-02 18:17:43 status half-installed dash:amd64 0.5.10.2-5
2021-11-02 18:17:43 status unpacked dash:amd64 0.5.10.2-5
2021-11-02 18:17:43 install diffutils:amd64 <none> 1:3.7-3
2021-11-02 18:17:43 status half-installed diffutils:amd64 1:3.7-3
2021-11-02 18:17:43 status unpacked diffutils:amd64 1:3.7-3
2021-11-02 18:17:43 install libblkid1:amd64 <none> 2.33.1-0.1
2021-11-02 18:17:43 status half-installed libblkid1:amd64 2.33.1-0.1
2021-11-02 18:17:43 status unpacked libblkid1:amd64 2.33.1-0.1
2021-11-02 18:17:43 install libcom-err2:amd64 <none> 1.44.5-1+deb10u3
2021-11-02 18:17:43 status half-installed libcom-err2:amd64 1.44.5-1+deb10u3
2021-11-02 18:17:43 status unpacked libcom-err2:amd64 1.44.5-1+deb10u3
2021-11-02 18:17:43 install libext2fs2:amd64 <none> 1.44.5-1+deb10u3
2021-11-02 18:17:43 status half-installed libext2fs2:amd64 1.44.5-1+deb10u3
2021-11-02 18:17:43 status unpacked libext2fs2:amd64 1.44.5-1+deb10u3
2021-11-02 18:17:43 install e2fsprogs:amd64 <none> 1.44.5-1+deb10u3
2021-11-02 18:17:43 status half-installed e2fsprogs:amd64 1.44.5-1+deb10u3
2021-11-02 18:17:43 status unpacked e2fsprogs:amd64 1.44.5-1+deb10u3
2021-11-02 18:17:43 install libfdisk1:amd64 <none> 2.33.1-0.1
2021-11-02 18:17:43 status half-installed libfdisk1:amd64 2.33.1-0.1
2021-11-02 18:17:43 status unpacked libfdisk1:amd64 2.33.1-0.1
2021-11-02 18:17:43 install libmount1:amd64 <none> 2.33.1-0.1
2021-11-02 18:17:43 status half-installed libmount1:amd64 2.33.1-0.1
2021-11-02 18:17:43 status unpacked libmount1:amd64 2.33.1-0.1
2021-11-02 18:17:43 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u2
2021-11-02 18:17:43 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u2
2021-11-02 18:17:43 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u2
2021-11-02 18:17:43 install fdisk:amd64 <none> 2.33.1-0.1
2021-11-02 18:17:43 status half-installed fdisk:amd64 2.33.1-0.1
2021-11-02 18:17:43 status unpacked fdisk:amd64 2.33.1-0.1
2021-11-02 18:17:43 install findutils:amd64 <none> 4.6.0+git+20190209-2
2021-11-02 18:17:43 status half-installed findutils:amd64 4.6.0+git+20190209-2
2021-11-02 18:17:43 status unpacked findutils:amd64 4.6.0+git+20190209-2
2021-11-02 18:17:44 install grep:amd64 <none> 3.3-1
2021-11-02 18:17:44 status half-installed grep:amd64 3.3-1
2021-11-02 18:17:44 status unpacked grep:amd64 3.3-1
2021-11-02 18:17:44 install gzip:amd64 <none> 1.9-3
